,True_Label,Predicted_results
0,0,0
1,1,0
2,0,1
3,1,1
4,1,1
5,0,0
6,1,1
7,0,0
8,1,0
9,1,1
10,1,1
11,0,1
12,1,1
13,1,1
14,0,0
15,0,0
16,1,1
17,1,1
18,1,0
19,0,1
20,1,0
21,1,1
22,1,1
23,1,1
24,0,1
25,1,1
26,1,0
27,1,0
28,0,0
29,1,1
30,1,1
31,1,0
32,0,1
33,0,1
34,0,1
35,0,0
36,1,1
37,0,0
38,1,0
39,1,1
40,0,1
41,1,1
42,0,1
43,0,1
44,0,1
45,1,1
46,0,1
47,0,1
48,1,1
49,0,1
50,1,1
51,0,1
52,1,1
53,0,1
54,0,1
55,1,1
56,0,0
57,1,1
58,0,1
59,1,1
60,0,1
61,0,1
62,1,0
63,0,1
64,1,1
65,0,1
66,1,1
67,1,1
68,1,1
69,1,0
70,0,0
71,1,1
72,1,0
73,0,1
74,0,1
75,1,1
76,0,1
77,1,1
78,1,1
79,0,1
80,1,0
81,0,1
82,0,0
83,1,0
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,0,1
90,0,1
91,1,1
92,1,0
93,1,1
94,0,1
95,1,1
96,0,0
97,1,0
98,1,1
99,1,1
100,0,1
101,1,1
102,1,1
103,1,1
104,1,1
105,0,0
106,1,1
107,1,1
108,1,0
109,1,1
110,0,1
111,1,0
112,1,1
113,1,0
114,1,1
115,1,1
116,1,1
117,1,0
118,1,0
119,0,0
120,1,1
121,0,1
122,1,1
123,1,0
124,1,1
125,1,1
126,1,0
127,0,0
128,1,0
129,1,1
130,1,0
131,0,0
132,1,1
133,1,0
134,0,1
135,1,0
136,1,0
137,0,1
138,1,0
139,0,1
140,0,0
141,1,0
142,0,1
143,1,0
144,1,1
145,1,1
146,1,0
147,1,1
148,1,1
149,1,1
150,0,0
151,0,1
152,0,1
153,1,0
154,1,1
155,0,0
156,1,1
157,1,1
158,0,1
159,1,1
160,1,0
161,1,0
162,1,0
163,1,1
164,0,0
165,1,1
166,1,1
167,1,1
168,1,0
169,0,1
170,0,1
171,0,1
172,1,0
173,0,0
174,0,1
175,1,1
176,1,0
177,0,1
178,0,0
179,0,0
180,0,1
181,1,1
182,0,1
183,1,1
184,1,1
185,1,1
186,0,1
187,1,1
188,1,1
189,0,1
190,1,1
191,0,1
192,1,0
193,1,1
194,1,1
195,1,1
196,0,1
197,0,1
198,0,1
199,0,0
200,0,1
201,1,0
202,0,0
203,1,0
204,1,0
205,0,0
206,1,0
207,0,1
208,1,0
209,0,0
210,1,1
211,1,1
212,1,1
213,1,1
214,1,1
215,0,0
216,0,0
217,1,1
218,0,0
219,1,1
220,1,1
221,0,1
222,0,1
223,1,0
224,0,1
225,1,0
226,1,1
227,1,1
228,1,1
229,0,1
230,1,1
231,0,1
232,1,0
233,1,1
234,1,1
235,1,1
236,0,1
237,1,1
238,0,0
239,1,0
240,1,0
241,1,1
242,1,1
243,0,1
244,0,0
245,1,1
246,0,0
247,1,0
248,1,0
249,0,0
250,1,0
251,1,1
252,0,0
253,1,0
254,0,0
255,1,1
256,1,1
257,0,1
258,1,1
259,1,1
260,0,1
261,0,1
262,1,1
263,1,0
264,1,1
265,1,1
266,1,1
267,0,0
268,0,0
269,1,0
270,0,0
271,1,0
272,1,0
273,0,0
274,1,0
275,1,0
276,1,0
277,1,1
278,0,1
279,1,1
280,1,0
281,0,0
282,0,0
283,0,1
284,1,0
285,0,0
286,0,0
287,1,0
288,0,0
289,1,1
290,1,1
291,0,1
292,0,1
293,0,1
294,1,0
295,0,1
296,1,1
297,0,1
298,1,1
299,0,1
300,1,1
301,1,1
302,1,1
303,0,1
304,1,1
305,1,1
306,0,1
307,0,1
308,1,1
309,1,1
310,0,0
311,0,1
312,1,0
313,1,0
314,1,1
315,0,1
316,0,1
317,1,1
318,1,0
319,0,0
320,1,0
321,0,0
322,1,1
323,1,1
324,0,1
325,0,1
326,1,0
327,0,0
328,1,1
329,1,1
330,0,1
331,0,0
332,1,1
333,0,1
334,0,0
335,0,1
336,0,1
337,1,1
338,1,0
339,0,1
340,0,1
341,0,1
342,1,1
343,1,1
344,0,1
345,0,1
346,0,1
347,1,1
348,0,1
349,1,0
350,0,1
351,1,1
352,0,1
353,1,1
354,0,0
355,1,1
356,0,1
357,1,1
358,1,1
359,1,1
360,0,0
361,1,1
362,1,1
363,1,0
364,0,1
365,0,1
366,1,1
367,0,1
368,1,0
369,1,1
370,1,1
371,1,1
372,0,1
373,1,1
374,1,0
375,0,1
376,1,1
377,1,0
378,1,1
379,1,1
380,0,0
381,1,0
382,1,1
383,0,1
384,0,1
385,0,0
386,0,0
387,0,0
388,1,0
389,1,1
390,1,1
391,1,1
392,1,0
393,0,0
394,1,1
395,1,1
396,0,1
397,1,1
398,1,1
399,1,0
400,1,1
401,0,0
402,1,0
403,0,1
404,0,0
405,1,1
406,1,0
407,0,1
408,0,0
409,0,1
410,1,1
411,1,0
412,1,1
413,1,0
414,1,1
415,0,1
416,1,0
417,1,0
418,0,0
419,1,1
420,1,1
421,1,1
422,1,1
423,0,0
424,0,1
425,0,1
426,0,1
427,0,0
428,1,0
429,1,1
430,0,1
431,0,1
432,1,1
433,1,1
434,1,0
435,0,1
436,0,1
437,0,1
438,0,1
439,0,1
440,1,1
441,0,0
442,1,1
443,1,1
444,1,1
445,0,1
446,0,1
447,0,1
448,1,1
449,1,1
450,1,1
451,1,1
452,1,1
453,0,1
454,1,1
455,0,1
456,1,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,0
462,1,0
463,1,1
464,1,1
465,1,0
466,1,1
467,0,0
468,0,1
469,1,1
470,1,0
471,0,0
472,1,1
473,0,0
474,1,1
475,1,0
476,0,1
477,0,0
478,1,1
479,0,0
480,1,1
481,0,1
482,0,0
483,1,1
484,0,1
485,1,1
486,1,0
487,1,0
488,0,1
489,1,1
490,0,1
491,0,0
492,1,1
493,0,1
494,0,1
495,0,0
496,1,1
497,1,1
498,1,1
499,1,1
500,0,1
501,0,1
502,0,1
503,0,0
504,1,0
505,0,1
506,0,1
507,0,1
508,0,1
509,1,1
510,1,1
511,1,0
512,0,0
513,1,1
514,0,0
515,0,1
516,0,1
517,0,1
518,1,1
519,0,1
520,1,1
521,0,1
522,1,1
523,1,1
524,1,1
525,1,1
526,0,1
527,1,1
528,0,0
529,1,1
530,1,0
531,0,0
532,0,1
533,0,1
534,1,1
535,0,1
536,0,1
537,0,1
538,0,1
539,0,0
540,1,0
541,1,0
542,1,1
543,0,1
544,1,1
545,0,1
546,0,0
547,0,1
548,0,1
549,1,1
550,0,1
551,0,1
552,0,1
553,1,1
554,1,1
555,1,1
556,1,1
557,0,1
558,1,1
559,0,0
560,1,1
561,0,1
562,1,1
563,1,1
564,0,1
565,0,1
566,1,1
567,1,0
568,0,0
569,0,1
570,1,1
571,0,1
572,0,1
573,0,1
574,1,1
575,0,1
576,0,0
577,1,1
578,0,1
579,0,1
580,0,1
581,1,0
582,0,1
583,0,1
584,1,1
585,0,1
586,1,1
587,1,0
588,1,1
589,0,1
590,0,1
591,0,1
592,1,1
593,0,1
594,1,1
595,1,1
596,0,1
597,1,0
598,0,1
599,0,1
600,0,1
601,1,1
602,0,1
603,1,0
604,1,1
605,1,0
606,0,1
607,0,1
608,1,1
609,0,1
610,1,1
611,1,1
612,0,1
613,0,0
614,0,1
615,0,0
616,1,0
617,1,1
618,0,1
619,1,1
620,1,1
621,0,1
622,1,1
623,1,1
624,0,1
625,0,1
626,0,1
627,0,1
628,1,1
629,1,1
630,1,1
631,1,0
632,1,0
633,0,1
634,0,1
635,0,1
636,1,0
637,1,0
638,0,0
639,1,0
640,1,0
641,1,1
642,0,1
643,0,0
644,0,0
645,1,1
646,1,1
647,1,1
648,0,0
649,0,0
650,1,1
651,1,1
652,0,0
653,0,0
654,0,0
655,1,1
656,0,0
657,1,1
658,1,1
659,0,1
660,0,0
661,1,0
662,0,1
663,0,1
664,0,0
665,1,1
666,1,1
667,0,1
668,0,1
669,0,1
670,0,0
671,0,1
672,0,1
673,0,1
674,1,1
675,1,1
676,1,1
677,1,1
678,0,1
679,1,1
680,0,1
681,0,1
682,1,0
683,0,1
684,0,1
685,0,1
686,0,0
687,0,1
688,1,1
689,1,1
690,0,1
691,0,0
692,1,1
693,1,1
694,0,1
695,0,0
696,0,1
697,0,1
698,0,0
699,0,1
700,1,1
701,0,1
702,1,1
703,1,1
704,0,1
705,0,1
706,1,0
707,1,1
708,1,0
709,0,0
710,0,0
711,1,1
712,0,1
713,0,1
714,0,1
715,0,1
716,1,1
717,1,1
718,1,0
719,0,0
720,1,0
721,1,1
722,0,1
723,1,1
724,0,1
725,0,0
726,1,1
727,0,1
728,1,0
729,1,1
730,0,1
731,0,1
732,0,1
733,1,1
734,1,1
735,0,0
736,0,1
737,0,1
738,0,1
739,1,1
740,0,0
741,1,1
742,1,0
743,0,1
744,0,1
745,0,1
746,0,1
747,1,1
748,1,1
749,0,1
750,1,0
751,0,1
752,0,1
753,1,0
754,0,0
755,0,1
